dataset,horizon,row_type,Informer_raw(MSE/MAE),Informer_tcg(MSE/MAE),Crossformer_raw(MSE/MAE),Crossformer_tcg(MSE/MAE),PatchTST_raw(MSE/MAE),PatchTST_tcg(MSE/MAE),TimesNet_raw(MSE/MAE),TimesNet_tcg(MSE/MAE),TimeMixer_raw(MSE/MAE),TimeMixer_tcg(MSE/MAE)
ETTh1,96,value,1.569 / 0.902,,0.394 / 0.404,,0.394 / 0.392,,0.488 / 0.475,,0.401 / 0.395,
ETTh1,192,value,1.410 / 0.856,,0.436 / 0.431,,0.447 / 0.423,,0.513 / 0.478,,0.443 / 0.420,
ETTh1,336,value,1.221 / 0.762,,0.471 / 0.453,,0.490 / 0.444,,0.581 / 0.505,,0.492 / 0.441,
ETTh1,720,value,1.147 / 0.773,,0.495 / 0.493,,0.506 / 0.470,,0.556 / 0.509,,0.496 / 0.460,
ETTh1,Avg,value,1.337 / 0.823,,0.449 / 0.445,,0.459 / 0.432,,0.534 / 0.492,,0.458 / 0.429,
ETTh1,Δ,delta,,,,,,,,,,
ETTh2,96,value,5.257 / 1.710,,0.339 / 0.395,,0.293 / 0.338,,0.448 / 0.428,,0.297 / 0.338,
ETTh2,192,value,3.400 / 1.336,,0.438 / 0.440,,0.376 / 0.391,,0.520 / 0.470,,0.375 / 0.390,
ETTh2,336,value,1.004 / 0.720,,0.491 / 0.488,,0.425 / 0.431,,0.497 / 0.475,,0.435 / 0.434,
ETTh2,720,value,0.969 / 0.713,,1.913 / 1.072,,0.441 / 0.450,,0.456 / 0.465,,0.437 / 0.447,
ETTh2,Avg,value,2.657 / 1.120,,0.795 / 0.599,,0.384 / 0.403,,0.480 / 0.459,,0.386 / 0.403,
ETTh2,Δ,delta,,,,,,,,,,
ETTm1,96,value,1.502 / 0.870,,0.345 / 0.362,,0.327 / 0.348,,0.455 / 0.439,,0.318 / 0.342,
ETTm1,192,value,1.264 / 0.792,,0.378 / 0.381,,0.374 / 0.370,,0.524 / 0.472,,0.373 / 0.372,
ETTm1,336,value,1.453 / 0.827,,0.430 / 0.411,,0.406 / 0.395,,0.543 / 0.489,,0.407 / 0.394,
ETTm1,720,value,1.700 / 0.929,,0.498 / 0.463,,0.477 / 0.433,,0.554 / 0.495,,0.474 / 0.432,
ETTm1,Avg,value,1.479 / 0.855,,0.413 / 0.404,,0.396 / 0.387,,0.519 / 0.474,,0.393 / 0.385,
ETTm1,Δ,delta,,,,,,,,,,
ETTm2,96,value,8.137 / 2.167,,0.181 / 0.264,,0.175 / 0.252,,0.207 / 0.282,,0.173 / 0.250,
ETTm2,192,value,4.557 / 1.490,,0.237 / 0.306,,0.240 / 0.296,,0.289 / 0.332,,0.239 / 0.295,
ETTm2,336,value,0.351 / 0.429,,0.313 / 0.367,,0.301 / 0.335,,0.362 / 0.378,,0.300 / 0.333,
ETTm2,720,value,0.384 / 0.425,,0.784 / 0.642,,0.402 / 0.394,,0.534 / 0.463,,0.398 / 0.391,
ETTm2,Avg,value,3.357 / 1.128,,0.379 / 0.395,,0.280 / 0.319,,0.348 / 0.364,,0.278 / 0.317,
ETTm2,Δ,delta,,,,,,,,,,
Weather,96,value,1.094 / 0.753,,0.166 / 0.204,,0.173 / 0.208,,0.181 / 0.227,,0.180 / 0.226,
Weather,192,value,0.294 / 0.328,,0.208 / 0.244,,0.215 / 0.248,,0.246 / 0.283,,0.246 / 0.282,
Weather,336,value,0.260 / 0.312,,0.260 / 0.286,,0.269 / 0.288,,0.311 / 0.324,,0.309 / 0.323,
Weather,720,value,0.289 / 0.336,,0.331 / 0.339,,0.345 / 0.337,,0.417 / 0.387,,0.395 / 0.375,
Weather,Avg,value,0.484 / 0.432,,0.241 / 0.268,,0.251 / 0.270,,0.289 / 0.305,,0.283 / 0.302,
Weather,Δ,delta,,,,,,,,,,
ECL,96,value,1.478 / 0.965,,0.192 / 0.267,,0.194 / 0.268,,0.174 / 0.279,,0.195 / 0.263,
ECL,192,value,1.540 / 0.982,,0.198 / 0.275,,0.199 / 0.276,,0.188 / 0.288,,0.193 / 0.267,
ECL,336,value,1.412 / 0.951,,0.214 / 0.295,,0.214 / 0.292,,0.210 / 0.307,,0.209 / 0.283,
ECL,720,value,1.682 / 1.058,,0.249 / 0.324,,0.255 / 0.326,,0.252 / 0.341,,0.249 / 0.315,
ECL,Avg,value,1.528 / 0.989,,0.213 / 0.290,,0.215 / 0.291,,0.206 / 0.304,,0.212 / 0.282,
ECL,Δ,delta,,,,,,,,,,
ILI,24,value,7.005 / 1.868,6.345 / 1.757,4.736 / 1.480,4.965 / 1.500,3.633 / 1.079,3.463 / 1.076,9.241 / 1.389,7.673 / 1.379,3.507 / 1.071,3.160 / 1.146,
ILI,36,value,7.201 / 1.898,6.939 / 1.865,5.153 / 1.561,4.910 / 1.519,4.019 / 1.192,3.923 / 1.202,7.371 / 1.438,7.446 / 1.441,3.974 / 1.152,3.477 / 1.207,
ILI,48,value,7.173 / 1.920,6.801 / 1.870,5.244 / 1.576,5.277 / 1.585,2.939 / 1.099,2.887 / 1.083,4.175 / 1.237,4.345 / 1.246,2.513 / 1.005,3.213 / 1.203,
ILI,60,value,7.140 / 1.916,7.777 / 2.006,5.006 / 1.550,5.730 / 1.663,2.695 / 1.071,2.726 / 1.075,3.392 / 1.149,3.363 / 1.156,2.657 / 1.049,3.072 / 1.134,
ILI,Avg,value,7.130 / 1.900,6.966 / 1.875,5.035 / 1.542,5.221 / 1.567,3.322 / 1.110,3.250 / 1.109,6.045 / 1.303,5.707 / 1.306,3.163 / 1.070,3.231 / 1.173,
ILI,Δ,delta,,,,,,,,,,
