rank,dataset,domain,frequency,T,C,ADF_p,spectral_entropy,VoV,rank_H_s,rank_VoV,score
1,Illness,Healthcare,1 Week,966,7,0.0722,0.5176,0.9995,10,9,19
2,BeijingAirQuality,Environment,1 Hour,36000,7,0.0000,0.6089,0.9100,11,8,19
3,COVID19,Epidemiology,1 Day,1143,8,0.0438,0.5016,1.4648,8,11,19
4,Weather,Climatology,10 Min,52696,21,0.0033,0.4514,1.6813,5,12,17
5,VIX,Finance,1 Day,9165,1,0.0000,0.4965,0.8722,7,7,14
6,NABCPU,Cloud Ops,5 Min,4031,3,0.1374,0.7754,0.3955,12,1,13
7,Sunspots,Solar Physics,1 Month,3327,1,0.0002,0.5030,0.5573,9,4,13
8,ExchangeRate,Finance,1 Day,7588,8,0.5499,0.2067,1.3221,1,10,11
9,ETTh1,Energy,1 Hour,14400,7,0.0165,0.4686,0.4786,6,3,9
10,ETTh2,Energy,1 Hour,14400,7,0.0249,0.3586,0.6536,3,6,9
11,ETTm2,Energy,15 Min,57600,7,0.0249,0.3126,0.6411,2,5,7
12,ETTm1,Energy,15 Min,57600,7,0.0165,0.4114,0.4743,4,2,6
